Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNALCEK5FZ137163/gfas?cb=16777551996700.4782935067564471
incomplete,Windshield Wiper Failure,22V165,2022-03-29,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,https://www.chevrolet.com/ownercenter/api/1GNALCEK5FZ137163/gfas?cb=16777551996700.4782935067564471
complete,# 05037 : SECOND ROW CENTER SAFETY BELT,05V163,2005-07-14,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position.   Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group.  In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual.  Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",https://www.chevrolet.com/ownercenter/api/3GNGK26G33G219048/gfas?cb=16777551996700.4782935067564471
incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNALDEK2EZ115674/gfas?cb=16777551996700.4782935067564471
incomplete,Windshield Wiper Failure,22V165,2022-03-29,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,https://www.chevrolet.com/ownercenter/api/1GNALDEK2EZ115674/gfas?cb=16777551996700.4782935067564471
incomplete,# 14350 : UNINTENDED IGNITION KEY ROTATION,14V400,2014-08-30,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ND52J92M633713/gfas?cb=16777551996700.4782935067564471
complete,# 20760 : BRAKE PEDAL PIVOT NUT/BOLT LOOSE,16V069,2016-02-05,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2015 – 2016 Chevrolet Silverado and GMC Sierra 2500/3500 Heavy Duty Pickup Trucks and Chevrolet Tahoe PPV vehicles.  The brake pedal pivot nut on these vehicles may become loose, causing the brake pedal to be loose or inoperative.","If the brake pedal becomes loose or inoperative, the driver may be unable to safely stop the vehicle through application of the brake pedal, increasing the risk of a crash.  A loose pedal may also interfere with the accelerator pedal, increasing the risk of a crash.","Dealers will inspect and, if necessary, add adhesive to the nut and reinstall the bolt at an increased torque, free of charge.",https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
complete,# 18156 : Seat Belt Lap Anchor Tensioner Cable,18V291,2018-05-03,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2015 – 2016 Chevrolet Silverado and Tahoe police and special-service vehicles.  In rare circumstances based on usage, the flexible steel cable that connects the driver’s seat belt to the outboard side of the seat (the “pretensioner cable”) can fatigue and may separate over time as a result of occupant movement into the driver’s seat. If a pretensioner cable were to break, it would reduce the effectiveness of the vehicle’s seat belts and increase the risk of injury to the driver in a crash.","A fatigued cable could break, reducing the effectiveness of the vehicle’s seat belts and increasing the risk of injury to the driver during a crash.",Dealers will replace the pretensioner cable and seat side-shield.,https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
complete,Hard Pedal at Low Speed Stops Exp 10/31/21,,2019-08-12,"Certain 2015 - 2018 model year Chevrolet Silverado vehicles equipped with special service package (RPO 5W4) and certain 2015 – 2019 Chevrolet Tahoe vehicles equipped with police package (RPO 9C1) or special service package (RPO 5W4) may have a condition in which frequent, repeated brake applications at low speed or idle speeds can deplete available brake vacuum assist faster than vacuum can be replenished by the system, which can lead to increased brake pedal effort, hard brake pedal and potentially increased stopping distance.",,These vehicles utilize Hydraulic Brake Boost Assist to supply additional hydraulic pressure when the vacuum boost is not sufficient to achieve the driver’s intended brake force.  Dealers will reprogram the Electronic Brake Control Module in these vehicles with a new calibration that will improve how the system utilizes the Hydraulic Brake Boost Assist function when vacuum assist is depleted.,https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
incomplete,# 17336 : Combi-Cooler Air Conditioner Refrigerant Leak,,2017-10-06,"Some 2015-2017 model year Cadillac Escalade, Escalade ESV, Chevrolet Suburban, Tahoe, GMC Yukon and Yukon XL vehicles, may have a condition where thermal cycling on the combination transmission fluid/oil and AC condenser cooler creates a crack that may allow refrigerant to escape. This condition consequently may deactivate the AC system which may cause potential customer annoyance.

This special coverage covers the condition described above for a period of 5 years or 60,000 miles (100,000 km) for Chevrolet Suburban, Tahoe, GMC Yukon and Yukon XL and 6 years or 72,000 miles (116,000 km) for Cadillac Escalade and Escalade ESV, whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to inspect the air conditioning condenser and replace if necessary.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
complete,Increased Brake Pedal Effort,19V645,2019-09-06,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2018 model year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, GMC Sierra, and GMC Yukon vehicles. In some circumstances, these vehicle may have a condition in which the engine-mounted mechanical vacuum pump output may decrease over time, decreasing the amount of vacuum/power brake assist.",.,Dealers will reprogram the electronic brake control module with a new calibration that will improve how the system utilizes the hydraulic brake boost assist function when vacuum assist is depleted.,https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
complete,Unexpected Pull To One Side,19V761,2019-10-24,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014 – 2018 model year Chevrolet Silverado and GMC Sierra 1500 vehicles equipped with four-wheel drive, a 5.3-liter engine, and a 3.08-ratio rear axle, and certain 2015 – 2020 model year Chevrolet Suburban, Chevrolet Tahoe, and GMC Yukon equipped with four-wheel drive, a 5.3-liter engine, and a 3.08-ratio rear axle.  If a wheel-speed sensor fails in these vehicles, a software error in the vehicle’s electronic-brake control module (EBCM) can cause the vehicle’s driveline-protection system to activate when (i) the vehicle’s electronic transfer case is set to four-wheel drive or automatic mode, and (ii)  the vehicle is driven between the speeds of 41 and 60 MPH.  If the driveline-protection system activates, the driver will experience unintended braking on the wheel on the opposite side of the failed sensor.","If a wheel-speed sensor fails, the vehicle’s Electronic Stability Control (ESC) and Anti-Lock Braking System (ABS) malfunction indicator warning lamps will illuminate and the vehicle’s driver information center will display a “Service StabiliTrak” message.  If these vehicles are driven in this condition while in four-wheel drive or automatic mode at 41-60 MPH, unintended braking on one wheel can occur, causing the vehicle to pull to one side, increasing the risk of a crash.  Owners can eliminate this risk by operating the vehicle in two-wheel-drive mode until the recall repair is performed.",Dealers will reprogram the electronic brake control module (EBCM).,https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
incomplete,Brake Assist Decreased Due To Vacuum Loss,,2019-04-10,"Some 2014 – 2018 model year GM vehicles may have a condition where customers may experience increased brake pedal effort, hard brake pedal, and/or potentially increased stopping distance. The condition is more prevalent at low speed when softly applying the brakes. The engine mounted mechanical vacuum pump output may decrease over time decreasing the amount of vacuum/power brake assist. Failure to follow recommended oil change intervals could contribute to this condition. The Driver’s Information Center, (DIC) “Service brake assist” alert will activate 2-5 minutes after the vacuum level drops, and a Diagnostic Trouble Code, (DTC) will also be set. Even where this condition occurs, the hydraulic brake system remains functional but may require additional pedal force.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the vacuum pump and vacuum pump belt.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
